Year,Olympic men's 100 m time (s),Olympic women's 100 m time (s)
1896,12,
1900,11,
1904,11,
1906,11.2,
1908,10.8,
1912,10.8,
1920,10.8,
1924,10.6,
1928,10.8,12.2
1932,10.3,11.9
1936,10.3,11.5
1948,10.3,11.9
1952,10.4,11.5
1956,10.5,11.5
1960,10.2,11
1964,10,11.4
1968,9.95,11
1972,10.14,11.07
1976,10.06,11.08
1980,10.25,11.06
1984,9.99,10.97
1988,9.92,10.54
1992,9.96,10.82
1996,9.84,10.94
2000,9.87,11.12
2004,9.85,10.93
2008,9.69,10.78
2012,9.63,10.75
2016,9.81,10.71
2021,9.8,10.61
2024,9.784,10.72
